PU;NAME;WGMS_ID;SURVEY_DATE;REFERENCE_DATE;AREA;ANN_BAL;ANN_BAL_UNC;INVESTIGATOR;SPONS_AGENCY;REFERENCE;REMARKS
AR;BROWN SUPERIOR;3903;20109999;20099999;0.209;-1029;;Cabrera G. (IANIGLA), Leiva J. (IANIGLA);IANIGLA: Instituto Argentino de Nivología, Glaciología y Ciencias Ambientales, CCT CONICET Mendoza;;
AR;BROWN SUPERIOR;3903;20119999;20109999;0.196;-2045;;Cabrera G. (IANIGLA), Leiva J. (IANIGLA);IANIGLA: Instituto Argentino de Nivología, Glaciología y Ciencias Ambientales, CCT CONICET Mendoza;;
AR;BROWN SUPERIOR;3903;20129999;20119999;0.191;-1537;;Cabrera G. (IANIGLA), Leiva J. (IANIGLA);IANIGLA: Instituto Argentino de Nivología, Glaciología y Ciencias Ambientales, CCT CONICET Mendoza;;
AR;BROWN SUPERIOR;3903;20139999;20129999;;-823;;Cabrera G. (IANIGLA), Leiva J. (IANIGLA);IANIGLA: Instituto Argentino de Nivología, Glaciología y Ciencias Ambientales, CCT CONICET Mendoza;;
AR;BROWN SUPERIOR;3903;20149999;20139999;;-1359;;Cabrera G. (IANIGLA), Leiva J. (IANIGLA);IANIGLA: Instituto Argentino de Nivología, Glaciología y Ciencias Ambientales, CCT CONICET Mendoza;;Preliminary value.
AR;BROWN SUPERIOR;3903;20150504;20140425;0.1751;-2387;30;Gabriel Cabrera - IANIGLA;CGM Consultoria & Gestion Integral de Montania, Mitre 3200, Coquimbito-Maipu, 5515 Mendoza, Argentina;;Floating dates and correction methods prospecting ice surface below some snow y some stakes. No pit this year because no significant winter accumulation existed. 2014/15 glacier monitoring report submitted to San Juan Province Government, Argentina, by th
AR;CONCONTA NORTE;3902;20089999;20079999;0.136;-809;;Cabrera G. (IANIGLA), Leiva J. (IANIGLA);IANIGLA: Instituto Argentino de Nivología, Glaciología y Ciencias Ambientales, CCT CONICET Mendoza;;
AR;CONCONTA NORTE;3902;20099999;20089999;0.137;-1027;;Cabrera G. (IANIGLA), Leiva J. (IANIGLA);IANIGLA: Instituto Argentino de Nivología, Glaciología y Ciencias Ambientales, CCT CONICET Mendoza;;
AR;CONCONTA NORTE;3902;20109999;20099999;0.11;-1474;;Cabrera G. (IANIGLA), Leiva J. (IANIGLA);IANIGLA: Instituto Argentino de Nivología, Glaciología y Ciencias Ambientales, CCT CONICET Mendoza;;
AR;CONCONTA NORTE;3902;20119999;20109999;0.096;-1018;;Cabrera G. (IANIGLA), Leiva J. (IANIGLA);IANIGLA: Instituto Argentino de Nivología, Glaciología y Ciencias Ambientales, CCT CONICET Mendoza;;
AR;CONCONTA NORTE;3902;20129999;20119999;0.089;-1544;;Cabrera G. (IANIGLA), Leiva J. (IANIGLA);IANIGLA: Instituto Argentino de Nivología, Glaciología y Ciencias Ambientales, CCT CONICET Mendoza;;
AR;CONCONTA NORTE;3902;20139999;20129999;;-742;;Cabrera G. (IANIGLA), Leiva J. (IANIGLA);IANIGLA: Instituto Argentino de Nivología, Glaciología y Ciencias Ambientales, CCT CONICET Mendoza;;
AR;CONCONTA NORTE;3902;20149999;20139999;;-1783;;Cabrera G. (IANIGLA), Leiva J. (IANIGLA);IANIGLA: Instituto Argentino de Nivología, Glaciología y Ciencias Ambientales, CCT CONICET Mendoza;;Preliminary value.
AR;CONCONTA NORTE;3902;20150506;20140423;0.0704;-2890;50;Gabriel Cabrera - IANIGLA;CGM Consultoria & Gestion Integral de Montania, Mitre 3200, Coquimbito-Maipu, 5515 Mendoza, Argentina;;Floating dates and correction methods prospecting ice surface below some snow y some stakes. No pit this year because no significant winter accumulation existed. 2014/15 glacier monitoring report submitted to San Juan Province Government, Argentina, by th
AR;DE LOS TRES;1675;19960307;19959999;0.976;70;;V.V.Popovnin;Moscow State University Geographical Faculty Leninskiye Gory RU-119992 Moscow;;BEGIN_PERIODE: only year was reported!
AR;DE LOS TRES;1675;19970318;19960307;0.976;650;;V.V.Popovnin;Moscow State University Geographical Faculty Leninskiye Gory RU-119992 Moscow;;
AR;DE LOS TRES;1675;19980308;19970318;0.976;-280;;V.V.Popovnin;Moscow State University Geographical Faculty Leninskiye Gory RU-119992 Moscow;;
