"PU","NAME","WGMS_ID","SURVEY_DATE","REFERENCE_DATE","AREA","ANNUAL_BALANCE","ANNUAL_BALANCE_UNC","INVESTIGATOR","SPONS_AGENCY","REFERENCE","REMARKS"
"SJ","BOGERBREEN",3914,19789999.0000000,19779999.0000000,,-810,,,,"Data from Cogley (2008, updated 2013) based on: Gus'kov et al. (1983); Materialy Glyatsiologicheskikh Issledovaniy, 46, 136-139 p. Troitskiy (1988); Materialy Glyatsiologicheskikh Issledovaniy, 63, 117-121 p.",
"SJ","BOGERBREEN",3914,19799999.0000000,19789999.0000000,,-1070,,,,"Data from Cogley (2008, updated 2013) based on: Gus'kov et al. (1983); Materialy Glyatsiologicheskikh Issledovaniy, 46, 136-139 p. Troitskiy (1988); Materialy Glyatsiologicheskikh Issledovaniy, 63, 117-121 p.",
"SJ","BOGERBREEN",3914,19809999.0000000,19799999.0000000,,-650,,,,"Data from Cogley (2008, updated 2013) based on: Gus'kov et al. (1983); Materialy Glyatsiologicheskikh Issledovaniy, 46, 136-139 p. Troitskiy (1988); Materialy Glyatsiologicheskikh Issledovaniy, 63, 117-121 p.",
"SJ","BOGERBREEN",3914,19819999.0000000,19809999.0000000,,-360,,,,"Data from Cogley (2008, updated 2013) based on: Gus'kov et al. (1983); Materialy Glyatsiologicheskikh Issledovaniy, 46, 136-139 p. Troitskiy (1988); Materialy Glyatsiologicheskikh Issledovaniy, 63, 117-121 p.",
"SJ","BOGERBREEN",3914,19829999.0000000,19819999.0000000,,250,,,,"Data from Cogley (2008, updated 2013) based on: Gus'kov et al. (1983); Materialy Glyatsiologicheskikh Issledovaniy, 46, 136-139 p. Troitskiy (1988); Materialy Glyatsiologicheskikh Issledovaniy, 63, 117-121 p.",
"SJ","BOGERBREEN",3914,19839999.0000000,19829999.0000000,,-300,,,,"Data from Cogley (2008, updated 2013) based on: Gus'kov et al. (1983); Materialy Glyatsiologicheskikh Issledovaniy, 46, 136-139 p. Troitskiy (1988); Materialy Glyatsiologicheskikh Issledovaniy, 63, 117-121 p.",
"SJ","BOGERBREEN",3914,19849999.0000000,19839999.0000000,,-610,,,,"Data from Cogley (2008, updated 2013) based on: Gus'kov et al. (1983); Materialy Glyatsiologicheskikh Issledovaniy, 46, 136-139 p. Troitskiy (1988); Materialy Glyatsiologicheskikh Issledovaniy, 63, 117-121 p.",
"SJ","BOGERBREEN",3914,19859999.0000000,19849999.0000000,,-570,,,,"Data from Cogley (2008, updated 2013) based on: Gus'kov et al. (1983); Materialy Glyatsiologicheskikh Issledovaniy, 46, 136-139 p. Troitskiy (1988); Materialy Glyatsiologicheskikh Issledovaniy, 63, 117-121 p.",
"SJ","BOGERBREEN",3914,19869999.0000000,19859999.0000000,,-600,,,,"Data from Cogley (2008, updated 2013) based on: Gus'kov et al. (1983); Materialy Glyatsiologicheskikh Issledovaniy, 46, 136-139 p. Troitskiy (1988); Materialy Glyatsiologicheskikh Issledovaniy, 63, 117-121 p.",
"SJ","DAUDBREEN",3915,19789999.0000000,19779999.0000000,,-660,,,,"Data from Cogley (2008, updated 2013) based on: Gus'kov et al. (1983); Materialy Glyatsiologicheskikh Issledovaniy, 46, 136-139 p. Troitskiy (1988); Materialy Glyatsiologicheskikh Issledovaniy, 63, 117-121 p.",
"SJ","DAUDBREEN",3915,19799999.0000000,19789999.0000000,,-580,,,,"Data from Cogley (2008, updated 2013) based on: Gus'kov et al. (1983); Materialy Glyatsiologicheskikh Issledovaniy, 46, 136-139 p. Troitskiy (1988); Materialy Glyatsiologicheskikh Issledovaniy, 63, 117-121 p.",
"SJ","DAUDBREEN",3915,19809999.0000000,19799999.0000000,,-570,,,,"Data from Cogley (2008, updated 2013) based on: Gus'kov et al. (1983); Materialy Glyatsiologicheskikh Issledovaniy, 46, 136-139 p. Troitskiy (1988); Materialy Glyatsiologicheskikh Issledovaniy, 63, 117-121 p.",
"SJ","DAUDBREEN",3915,19819999.0000000,19809999.0000000,,-120,,,,"Data from Cogley (2008, updated 2013) based on: Gus'kov et al. (1983); Materialy Glyatsiologicheskikh Issledovaniy, 46, 136-139 p. Troitskiy (1988); Materialy Glyatsiologicheskikh Issledovaniy, 63, 117-121 p.",
"SJ","DAUDBREEN",3915,19829999.0000000,19819999.0000000,,120,,,,"Data from Cogley (2008, updated 2013) based on: Gus'kov et al. (1983); Materialy Glyatsiologicheskikh Issledovaniy, 46, 136-139 p. Troitskiy (1988); Materialy Glyatsiologicheskikh Issledovaniy, 63, 117-121 p.",
"SJ","DAUDBREEN",3915,19839999.0000000,19829999.0000000,,-100,,,,"Data from Cogley (2008, updated 2013) based on: Gus'kov et al. (1983); Materialy Glyatsiologicheskikh Issledovaniy, 46, 136-139 p. Troitskiy (1988); Materialy Glyatsiologicheskikh Issledovaniy, 63, 117-121 p.",
"SJ","ELISEBREEN",3337,20069999.0000000,20059999.0000000,10.2500000,-726,,"Sobota I. (NCU)","NCU: Institute of Geography, Department of Cryology and Polar Research, Nikolaus Copernicus University","WGMS (2009): GMBB No. 10 (2006-2007). WGMS (2012): FoG 2005-2010 (Vol. X).",
"SJ","ELISEBREEN",3337,20079999.0000000,20069999.0000000,10.2400000,-542,,"Sobota I. (NCU)","NCU: Institute of Geography, Department of Cryology and Polar Research, Nikolaus Copernicus University",,
"SJ","ELISEBREEN",3337,20089999.0000000,20079999.0000000,,-172,,"Sobota I. (NCU)","NCU: Institute of Geography, Department of Cryology and Polar Research, Nikolaus Copernicus University","WGMS (2011): GMBB No. 11 (2008-2009). WGMS (2012): FoG 2005-2010 (Vol. X).",
"SJ","ELISEBREEN",3337,20099999.0000000,20089999.0000000,10.2000000,-579,,"Sobota I. (NCU)","NCU: Institute of Geography, Department of Cryology and Polar Research, Nikolaus Copernicus University","WGMS (2011): GMBB No. 11 (2008-2009). WGMS (2012): FoG 2005-2010 (Vol. X).",
"SJ","FINSTERWALDERBREEN",3486,19519999.0000000,19509999.0000000,,-1350,,,,"Data from Cogley (2008, updated 2013) based on: Hagen et al. (1990); Ann Glaciol, 14, 102-106 p.","Multi-annual observation (-2700 mm w.e.) evenly distributed to corresponding years."
"SJ","FINSTERWALDERBREEN",3486,19529999.0000000,19519999.0000000,,-1350,,,,"Data from Cogley (2008, updated 2013) based on: Hagen et al. (1990); Ann Glaciol, 14, 102-106 p.","Multi-annual observation (-2700 mm w.e.) evenly distributed to corresponding years."
"SJ","FINSTERWALDERBREEN",3486,19539999.0000000,19529999.0000000,,50,,,,"Data from Cogley (2008, updated 2013) based on: Hagen et al. (1990); Ann Glaciol, 14, 102-106 p.","Multi-annual observation (100 mm w.e.) evenly distributed to corresponding years."
"SJ","FINSTERWALDERBREEN",3486,19549999.0000000,19539999.0000000,,50,,,,"Data from Cogley (2008, updated 2013) based on: Hagen et al. (1990); Ann Glaciol, 14, 102-106 p.","Multi-annual observation (100 mm w.e.) evenly distributed to corresponding years."
"SJ","FINSTERWALDERBREEN",3486,19559999.0000000,19549999.0000000,,-1200,,,,"Data from Cogley (2008, updated 2013) based on: Hagen et al. (1990); Ann Glaciol, 14, 102-106 p.","Multi-annual observation (-2400 mm w.e.) evenly distributed to corresponding years."
"SJ","FINSTERWALDERBREEN",3486,19569999.0000000,19559999.0000000,,-1200,,,,"Data from Cogley (2008, updated 2013) based on: Hagen et al. (1990); Ann Glaciol, 14, 102-106 p.","Multi-annual observation (-2400 mm w.e.) evenly distributed to corresponding years."
"SJ","FINSTERWALDERBREEN",3486,19579999.0000000,19569999.0000000,,200,,,,"Data from Cogley (2008, updated 2013) based on: Hagen et al. (1990); Ann Glaciol, 14, 102-106 p.","Multi-annual observation (400 mm w.e.) evenly distributed to corresponding years."
"SJ","FINSTERWALDERBREEN",3486,19589999.0000000,19579999.0000000,,200,,,,"Data from Cogley (2008, updated 2013) based on: Hagen et al. (1990); Ann Glaciol, 14, 102-106 p.","Multi-annual observation (400 mm w.e.) evenly distributed to corresponding years."
"SJ","FINSTERWALDERBREEN",3486,19599999.0000000,19589999.0000000,,-50,,,,"Data from Cogley (2008, updated 2013) based on: Hagen et al. (1990); Ann Glaciol, 14, 102-106 p.","Multi-annual observation (-100 mm w.e.) evenly distributed to corresponding years."
"SJ","FINSTERWALDERBREEN",3486,19609999.0000000,19599999.0000000,,-50,,,,"Data from Cogley (2008, updated 2013) based on: Hagen et al. (1990); Ann Glaciol, 14, 102-106 p.","Multi-annual observation (-100 mm w.e.) evenly distributed to corresponding years."
"SJ","FINSTERWALDERBREEN",3486,19619999.0000000,19609999.0000000,,-1150,,,,"Data from Cogley (2008, updated 2013) based on: Hagen et al. (1990); Ann Glaciol, 14, 102-106 p.","Multi-annual observation (-2300 mm w.e.) evenly distributed to corresponding years."
"SJ","FINSTERWALDERBREEN",3486,19629999.0000000,19619999.0000000,,-1150,,,,"Data from Cogley (2008, updated 2013) based on: Hagen et al. (1990); Ann Glaciol, 14, 102-106 p.","Multi-annual observation (-2300 mm w.e.) evenly distributed to corresponding years."
